Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
ZAUSKIHAUS,2023-07-22 00:31:54,00:42:12,,S.W.A.T.: Season 4: Next of Kin (Episode 9),,Microsoft Xbox Series X,00:42:13,00:42:13,US (United States)
ZAUSKIHAUS,2023-07-22 00:29:29,00:00:55,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:55,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-21 21:41:57,00:00:04,Autoplayed: user action: None; ,Miami Vice_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:04,00:00:04,US (United States)
ZAUSKIHAUS,2023-07-21 21:04:08,00:16:15,,S.W.A.T.: Season 4: Crusade (Episode 8),,Microsoft Xbox Series X,00:41:23,00:41:23,US (United States)
ZAUSKIHAUS,2023-07-21 20:41:30,00:00:10,Autoplayed: user action: None; ,S.W.A.T.: Season 4: Next of Kin (Episode 9),,Microsoft Xbox Series X,00:00:43,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-21 19:59:16,00:40:26,,S.W.A.T.: Season 4: Crusade (Episode 8),,Microsoft Xbox Series X,00:41:23,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-21 19:15:22,00:41:20,,S.W.A.T.: Season 4: Under Fire (Episode 7),,Microsoft Xbox Series X,00:41:21,00:41:21,US (United States)
ZAUSKIHAUS,2023-07-21 19:14:14,00:00:29,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:29,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-21 12:21:37,00:38:07,,S.W.A.T.: Season 4: Hopeless Sinners (Episode 6),,Microsoft Xbox Series X,00:40:59,00:40:59,US (United States)
ZAUSKIHAUS,2023-07-21 12:21:21,00:00:10,Autoplayed: user action: None; ,Season 3 Teaser 2: You,TEASER_TRAILER,Microsoft Xbox Series X,00:00:10,00:00:10,US (United States)
ZAUSKIHAUS,2023-07-21 02:28:52,00:02:18,Autoplayed: user action: None; ,S.W.A.T.: Season 4: Hopeless Sinners (Episode 6),,Microsoft Xbox Series X,00:02:50,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-21 01:45:39,00:41:19,,S.W.A.T.: Season 4: Fracture (Episode 5),,Microsoft Xbox Series X,00:41:49,00:41:49,US (United States)
ZAUSKIHAUS,2023-07-20 00:39:37,00:00:58,Autoplayed: user action: None; ,S.W.A.T.: Season 4: Fracture (Episode 5),,Microsoft Xbox Series X,00:01:35,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-19 23:58:06,00:41:03,Autoplayed: user action: User_Interaction; ,S.W.A.T.: Season 4: Memento Mori (Episode 4),,Microsoft Xbox Series X,00:41:48,00:41:48,US (United States)
ZAUSKIHAUS,2023-07-19 23:31:33,00:24:57,,S.W.A.T.: Season 4: The Black Hand Man (Episode 3),,Microsoft Xbox Series X,00:41:52,00:41:52,US (United States)
ZAUSKIHAUS,2023-07-19 23:31:24,00:00:04,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:04,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-19 00:17:45,00:16:19,Autoplayed: user action: None; ,S.W.A.T.: Season 4: The Black Hand Man (Episode 3),,Microsoft Xbox Series X,00:16:57,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-18 23:35:21,00:40:52,,S.W.A.T.: Season 4: Stakeout (Episode 2),,Microsoft Xbox Series X,00:41:46,00:41:46,US (United States)
ZAUSKIHAUS,2023-07-18 22:45:18,00:42:20,,S.W.A.T.: Season 4: 3 Seventeen Year Olds (Episode 1),,Microsoft Xbox Series X,00:42:20,00:42:20,US (United States)
